name,lat,lon,obs_cnt,temp_avg,temp_var,temp_cnt,temp_max,temp_min,temp_1,temp_5,temp_10,temp_20,temp_50,temp_80,temp_90,temp_95,temp_99,dni_avg,dni_var,dni_cnt,dni_max,dni_min
74927,33.09,-115.74,17520,23.5791894977169,98.311551600598,17520,48.2,1.9,5.9,9.1,11.3,14.4,22.5,32.7,37.9,41.4,45.5299999999999,310.712785388128,142147.667717138,17520,1019,0
74928,33.09,-115.7,17520,23.5839954337899,98.3600543592464,17520,48.2,1.8,5.9,9.1,11.2,14.4,22.5,32.7,37.9,41.4,45.5299999999999,297.875799086758,133598.686782284,17520,1019,0
74929,33.09,-115.66,17520,23.5350856164384,98.7082163862997,17520,48.2,1.5,5.8,9,11.1,14.3,22.4,32.7,37.85,41.3,45.5,306.595433789954,141163.37065096,17520,1025,0
74930,33.09,-115.62,17520,23.5211015981736,98.7300524424453,17520,48.2,1.4,5.8,8.95,11.1,14.3,22.4,32.6,37.8,41.3,45.5,314.152054794521,146827.912148312,17520,1025,0
74931,33.09,-115.58,17520,23.512140410959,98.8526221664809,17520,48.2,1.4,5.77,8.9,11.1,14.3,22.4,32.6,37.8,41.3,45.5,310.304052511416,146363.834996971,17520,1025,0
74932,33.09,-115.54,17520,23.5067066210047,98.9154085262864,17520,48.2,1.4,5.7,8.9,11.1,14.3,22.4,32.65,37.8,41.3,45.5,306.587671232877,145356.974675353,17520,1025,0
74933,33.09,-115.5,17520,23.5174771689499,100.002441263248,17520,48.2,1.2,5.5,8.8,11,14.2,22.5,32.7,37.9,41.3,45.5,306.449372146119,144259.148301441,17520,1023,0
74934,33.09,-115.46,17520,23.5255821917809,100.557885385105,17520,48.2,1.1,5.4,8.7,10.9,14.2,22.5,32.8,37.9,41.4,45.5,305.385102739726,143593.006833267,17520,1021,0
74935,33.09,-115.42,17520,23.5148230593608,100.872197068981,17520,48.2,1.1,5.4,8.7,10.9,14.1,22.5,32.8,37.9,41.4,45.5,311.563242009132,144316.75083783,17520,1018,0
74936,33.09,-115.38,17520,23.4300627853881,101.962647179115,17520,48.2,0.9,5.1,8.5,10.7,14,22.5,32.7,37.9,41.3,45.5,313.282248858447,143550.699656355,17520,1016,0
74937,33.09,-115.34,17520,23.3138812785387,102.355872142994,17520,48.1,0.7,4.9,8.3,10.6,13.8,22.3,32.6,37.8,41.2,45.4,313.147888127854,142393.430893412,17520,1014,0
74938,33.09,-115.3,17520,22.9647888127854,103.585398037479,17520,47.8,0.3,4.3,7.8,10.1,13.4,22,32.3,37.5,41,45.1299999999999,312.144406392694,142153.528092435,17520,1013,0
74939,33.09,-115.26,17520,22.9536301369863,103.981079349465,17520,47.9,0.2,4.3,7.8,10.1,13.4,22,32.3,37.5,41,45.2,315.4225456621,143165.66875361,17520,1011,0
75251,33.13,-116.74,17520,14.7593273231623,65.2810099156242,17304,37.1,0,-0.4,3.2,5.2,7.5,13.1,21.9,26.75,30.3,34.3299999999999,294.851826484018,153424.121887167,17520,1060,0
75252,33.13,-116.7,17520,14.6787099762608,66.0055843461655,17271,37.1,0,-0.6,3,5,7.3,13,21.9,26.7,30.3,34.3,297.590353881279,154257.1396181,17520,1060,0
75253,33.13,-116.66,17520,14.3593773728171,68.2653070655848,17121,37,0,-1.4,2.1,4.2,6.6,12.6,21.65,26.6,30.2,34.2,298.982534246575,156001.435621655,17520,1062,0
75254,33.13,-116.62,17520,13.0769660916121,67.3472747498756,16810,35.6,0,-3,0.5,2.5,5,11,20.2,25.2,28.8,32.8,306.644063926941,160808.597887006,17520,1070,0
75255,33.13,-116.58,17520,12.4326063116852,67.638802723572,16414,34.8,0,-4.23,-0.8,1.4,3.8,10.1,19.4,24.4,28.1,32.1,312.679794520548,159285.422549662,17520,1068,0
75256,33.13,-116.54,17520,16.5307643641801,77.6865164006448,17387,40,0,0.4,3.9,6,8.5,15,24.5,29.5,33.3,37.4,313.567751141552,152098.65206803,17520,1049,0
75257,33.13,-116.5,17520,16.3397839524002,80.9880803461569,17311,40.1,0,-0.3,3.3,5.5,8,14.7,24.5,29.7,33.5,37.5,323.442579908676,156346.983060432,17520,1049,0
75258,33.13,-116.46,17520,18.0240341136742,85.42628952923,17471,42.3,0,1.37,4.9,7.1,9.7,16.5,26.4,31.7,35.6,39.6,318.643321917808,152690.43633302,17520,1045,0
75259,33.13,-116.42,17520,18.8008623643631,87.1339572207605,17510,43.3,0,2.1,5.6,7.8,10.5,17.3,27.3,32.6,36.5,40.6,317.401769406393,149457.210739474,17520,1028,0
75260,33.13,-116.38,17520,19.2782529260635,90.0107597658752,17515,44.2,0,2.3,5.9,8.1,10.8,17.7,27.9,33.3,37.3,41.4,321.640639269406,149765.622664814,17520,1027,0
75261,33.13,-116.34,17520,19.771598173516,90.8149510389379,17520,44.8,0,2.7,6.3,8.6,11.3,18.2,28.4,33.9,37.8,42,318.965410958904,147216.853304375,17520,1021,0
